album_name,track_name,track_id,release_date,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,valence,track_url,album_cover_url
30,Strangers By Nature,13CVSGLSFl4UxpDVR6u3dq,2021-11-19,59,182163,0.387,0.253,5,-8.901,1,0.0336,0.134,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Easy On Me,46IZ0fSY2mpAiktS3KOqds,2021-11-19,82,224695,0.604,0.366,5,-7.519,1,0.0282,0.13,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,2021-11-19,62,389107,0.339,0.492,1,-10.661,1,0.0559,0.102,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Cry Your Heart Out,09u787BYeYIGd2mFIJ505t,2021-11-19,60,255278,0.756,0.713,7,-6.917,1,0.102,0.59,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Oh My God,3Kkjo3cT83cw09VJyrLNwX,2021-11-19,73,225149,0.534,0.725,1,-3.906,1,0.046,0.55,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Can I Get It,6w8ZPYdnGajyfPddTWdthN,2021-11-19,66,210384,0.703,0.68,9,-6.118,0,0.0431,0.536,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,2021-11-19,71,376169,0.437,0.565,10,-5.596,1,0.0466,0.306,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,All Night Parking (with Erroll Garner) Interlude,496vIKS2INz840xZaKncvR,2021-11-19,62,161829,0.734,0.497,8,-9.666,1,0.166,0.307,https://open.spotify.com/track/496vIKS2INz840xZaKncvR,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Woman Like Me,2c6xRsQBv7pynuhYhWoHxo,2021-11-19,58,300248,0.594,0.37,4,-10.561,0,0.173,0.329,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Hold On,6bGMSP3H9YqkmaLnaJTIoF,2021-11-19,61,366004,0.366,0.364,0,-7.814,1,0.0433,0.459,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,To Be Loved,10ImcQk9tihY1EKMDIbvXJ,2021-11-19,63,403962,0.356,0.176,8,-8.291,1,0.0391,0.289,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
30,Love Is A Game,2j3GxEsbNYNeEzz86wDY4J,2021-11-19,61,403044,0.269,0.591,10,-5.79,0,0.0416,0.228,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
25,Hello,1Yk0cQdMLx5RzzFTYwmuld,2015-11-20,73,295502,0.578,0.43,5,-6.134,0,0.0305,0.288,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
25,Send My Love (To Your New Lover),563SfWAHJs4FBZMkRN0IFN,2015-11-20,70,223079,0.688,0.533,6,-8.363,0,0.0865,0.567,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
25,I Miss You,6NdG17SJBXKJeYS67f7E74,2015-11-20,58,348625,0.382,0.578,5,-4.246,1,0.047,0.156,https://open.spotify.com/track/6NdG17SJBXKJeYS67f7E74,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
25,When We Were Young,6O5TrlFWTYvznd9fMC0VvU,2015-11-20,76,290900,0.376,0.595,3,-5.936,1,0.0496,0.265,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
25,Remedy,1zZh6zTXcDgvN0C6S1G4gU,2015-11-20,61,245427,0.405,0.3,2,-6.475,1,0.0378,0.24,https://open.spotify.com/track/1zZh6zTXcDgvN0C6S1G4gU,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
25,Water Under the Bridge,2DRMuw0U0QbkVQxWxdJV3M,2015-11-20,69,240439,0.59,0.833,5,-6.503,0,0.0615,0.538,https://open.spotify.com/track/2DRMuw0U0QbkVQxWxdJV3M,https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
